ignore,description
1-V86.72*,1-Person on outside of snowmobile injured in nontraffic accident
1-V86.73*,1-Person on outside of dune buggy injured in nontraffic accident
1-V86.74*,1-Person on outside of military vehicle injured in nontraffic accident
1-V86.75*,1-Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident
1-V86.76*,1-Person on outside of dirt bike or motor/cross bike injured in nontraffic accident
1-V86.79*,1-Person on outside of other special all-terrain or other off-road motor vehicles injured in nontraffic accident
1-V86.91*,1-Unspecified occupant of ambulance or fire engine injured in nontraffic accident
1-V86.92*,1-Unspecified occupant of snowmobile injured in nontraffic accident
1-V86.93*,1-Unspecified occupant of dune buggy injured in nontraffic accident
1-V86.94*,1-Unspecified occupant of military vehicle injured in nontraffic accident
1-V86.95*,1-Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident
1-V86.96*,1-Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident
1-V86.99*,1-Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in nontraffic accident
1-V87.0*,1-Person injured in collision between car and two- or three-wheeled powered vehicle (traffic)
1-V87.1*,1-Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)
1-V87.2*,1-Person injured in collision between car and pick-up truck or van (traffic)
1-V87.3*,1-Person injured in collision between car and bus (traffic)
1-V87.4*,1-Person injured in collision between car and heavy transport vehicle (traffic)
1-V87.5*,1-Person injured in collision between heavy transport vehicle and bus (traffic)
1-V87.6*,1-Person injured in collision between railway train or railway vehicle and car (traffic)
1-V87.7*,1-Person injured in collision between other specified motor vehicles (traffic)
1-V87.8*,1-Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)
1-V87.9*,1-Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic)
1-V88.0*,"1-Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic"
1-V88.1*,"1-Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic"
1-V88.2*,"1-Person injured in collision between car and pick-up truck or van, nontraffic"
1-V88.3*,"1-Person injured in collision between car and bus, nontraffic"
1-V88.4*,"1-Person injured in collision between car and heavy transport vehicle, nontraffic"
1-V88.5*,"1-Person injured in collision between heavy transport vehicle and bus, nontraffic"
1-V88.6*,"1-Person injured in collision between railway train or railway vehicle and car, nontraffic"
1-V88.7*,"1-Person injured in collision between other specified motor vehicle, nontraffic"
1-V88.8*,"1-Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
1-V88.9*,"1-Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic"
1-V89.0*,"1-Person injured in unspecified motor-vehicle accident, nontraffic"
1-V89.1*,"1-Person injured in unspecified nonmotor-vehicle accident, nontraffic"
1-V89.2*,"1-Person injured in unspecified motor-vehicle accident, traffic"
1-V89.3*,"1-Person injured in unspecified nonmotor-vehicle accident, traffic"
1-V89.9*,1-Person injured in unspecified vehicle accident
1-V90.00*,1-Drowning and submersion due to merchant ship overturning
1-V90.01*,1-Drowning and submersion due to passenger ship overturning
1-V90.02*,1-Drowning and submersion due to fishing boat overturning
1-V90.03*,1-Drowning and submersion due to other powered watercraft overturning
1-V90.04*,1-Drowning and submersion due to sailboat overturning
1-V90.05*,1-Drowning and submersion due to canoe or kayak overturning
1-V90.06*,1-Drowning and submersion due to (nonpowered) inflatable craft overturning
1-V90.08*,1-Drowning and submersion due to other unpowered watercraft overturning
1-V90.09*,1-Drowning and submersion due to unspecified watercraft overturning
1-V90.10*,1-Drowning and submersion due to merchant ship sinking
1-V90.11*,1-Drowning and submersion due to passenger ship sinking
1-V90.12*,1-Drowning and submersion due to fishing boat sinking
1-V90.13*,1-Drowning and submersion due to other powered watercraft sinking
1-V90.14*,1-Drowning and submersion due to sailboat sinking
1-V90.15*,1-Drowning and submersion due to canoe or kayak sinking
1-V90.16*,1-Drowning and submersion due to (nonpowered) inflatable craft sinking
1-V90.18*,1-Drowning and submersion due to other unpowered watercraft sinking
1-V90.19*,1-Drowning and submersion due to unspecified watercraft sinking
1-V90.20*,1-Drowning and submersion due to falling or jumping from burning merchant ship
1-V90.21*,1-Drowning and submersion due to falling or jumping from burning passenger ship
1-V90.22*,1-Drowning and submersion due to falling or jumping from burning fishing boat
1-V90.23*,1-Drowning and submersion due to falling or jumping from other burning powered watercraft
1-V90.24*,1-Drowning and submersion due to falling or jumping from burning sailboat
1-V90.25*,1-Drowning and submersion due to falling or jumping from burning canoe or kayak
1-V90.26*,1-Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft
1-V90.27*,1-Drowning and submersion due to falling or jumping from burning water-skis
1-V90.28*,1-Drowning and submersion due to falling or jumping from other burning unpowered watercraft
1-V90.29*,1-Drowning and submersion due to falling or jumping from unspecified burning watercraft
1-V90.30*,1-Drowning and submersion due to falling or jumping from crushed merchant ship
1-V90.31*,1-Drowning and submersion due to falling or jumping from crushed passenger ship
1-V90.32*,1-Drowning and submersion due to falling or jumping from crushed fishing boat
1-V90.33*,1-Drowning and submersion due to falling or jumping from other crushed powered watercraft
1-V90.34*,1-Drowning and submersion due to falling or jumping from crushed sailboat
1-V90.35*,1-Drowning and submersion due to falling or jumping from crushed canoe or kayak
1-V90.36*,1-Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft
1-V90.37*,1-Drowning and submersion due to falling or jumping from crushed water-skis
1-V90.38*,1-Drowning and submersion due to falling or jumping from other crushed unpowered watercraft
1-V90.39*,1-Drowning and submersion due to falling or jumping from crushed unspecified watercraft
1-V90.80*,1-Drowning and submersion due to other accident to merchant ship
1-V90.81*,1-Drowning and submersion due to other accident to passenger ship
1-V90.82*,1-Drowning and submersion due to other accident to fishing boat
1-V90.83*,1-Drowning and submersion due to other accident to other powered watercraft
1-V90.84*,1-Drowning and submersion due to other accident to sailboat
1-V90.85*,1-Drowning and submersion due to other accident to canoe or kayak
1-V90.86*,1-Drowning and submersion due to other accident to (nonpowered) inflatable craft
1-V90.87*,1-Drowning and submersion due to other accident to water-skis
1-V90.88*,1-Drowning and submersion due to other accident to other unpowered watercraft
1-V90.89*,1-Drowning and submersion due to other accident to unspecified watercraft
1-V91.00*,1-Burn due to merchant ship on fire
1-V91.01*,1-Burn due to passenger ship on fire
1-V91.02*,1-Burn due to fishing boat on fire
1-V91.03*,1-Burn due to other powered watercraft on fire
1-V91.04*,1-Burn due to sailboat on fire
1-V91.05*,1-Burn due to canoe or kayak on fire
1-V91.06*,1-Burn due to (nonpowered) inflatable craft on fire
1-V91.07*,1-Burn due to water-skis on fire
1-V91.08*,1-Burn due to other unpowered watercraft on fire
1-V91.09*,1-Burn due to unspecified watercraft on fire
1-V91.10*,1-Crushed between merchant ship and other watercraft or other object due to collision
1-V91.11*,1-Crushed between passenger ship and other watercraft or other object due to collision
1-V91.12*,1-Crushed between fishing boat and other watercraft or other object due to collision
1-V91.13*,1-Crushed between other powered watercraft and other watercraft or other object due to collision
1-V91.14*,1-Crushed between sailboat and other watercraft or other object due to collision
1-V91.15*,1-Crushed between canoe or kayak and other watercraft or other object due to collision
1-V91.16*,1-Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision
1-V91.18*,1-Crushed between other unpowered watercraft and other watercraft or other object due to collision
1-V91.19*,1-Crushed between unspecified watercraft and other watercraft or other object due to collision
1-V91.20*,1-Fall due to collision between merchant ship and other watercraft or other object
1-V91.21*,1-Fall due to collision between passenger ship and other watercraft or other object
1-V91.22*,1-Fall due to collision between fishing boat and other watercraft or other object
1-V91.23*,1-Fall due to collision between other powered watercraft and other watercraft or other object
1-V91.24*,1-Fall due to collision between sailboat and other watercraft or other object
1-V91.25*,1-Fall due to collision between canoe or kayak and other watercraft or other object
1-V91.26*,1-Fall due to collision between (nonpowered) inflatable craft and other watercraft or other object
1-V91.29*,1-Fall due to collision between unspecified watercraft and other watercraft or other object
1-V91.30*,1-Hit or struck by falling object due to accident to merchant ship
1-V91.31*,1-Hit or struck by falling object due to accident to passenger ship
1-V91.32*,1-Hit or struck by falling object due to accident to fishing boat
1-V91.33*,1-Hit or struck by falling object due to accident to other powered watercraft
1-V91.34*,1-Hit or struck by falling object due to accident to sailboat
1-V91.35*,1-Hit or struck by falling object due to accident to canoe or kayak
1-V91.36*,1-Hit or struck by falling object due to accident to (nonpowered) inflatable craft
1-V91.37*,1-Hit or struck by falling object due to accident to water-skis
1-V91.38*,1-Hit or struck by falling object due to accident to other unpowered watercraft
1-V91.39*,1-Hit or struck by falling object due to accident to unspecified watercraft
1-V91.80*,1-Other injury due to other accident to merchant ship
1-V91.81*,1-Other injury due to other accident to passenger ship
1-V91.82*,1-Other injury due to other accident to fishing boat
1-V91.83*,1-Other injury due to other accident to other powered watercraft
1-V91.84*,1-Other injury due to other accident to sailboat
1-V91.85*,1-Other injury due to other accident to canoe or kayak
1-V91.86*,1-Other injury due to other accident to (nonpowered) inflatable craft
1-V91.87*,1-Other injury due to other accident to water-skis
1-V91.88*,1-Other injury due to other accident to other unpowered watercraft
1-V91.89*,1-Other injury due to other accident to unspecified watercraft
1-V92.00*,1-Drowning and submersion due to fall off merchant ship
1-V92.01*,1-Drowning and submersion due to fall off passenger ship
1-V92.02*,1-Drowning and submersion due to fall off fishing boat
1-V92.03*,1-Drowning and submersion due to fall off other powered watercraft
1-V92.04*,1-Drowning and submersion due to fall off sailboat
1-V92.05*,1-Drowning and submersion due to fall off canoe or kayak
1-V92.06*,1-Drowning and submersion due to fall off (nonpowered) inflatable craft
1-V92.07*,1-Drowning and submersion due to fall off water-skis
1-V92.08*,1-Drowning and submersion due to fall off other unpowered watercraft
1-V92.09*,1-Drowning and submersion due to fall off unspecified watercraft
1-V92.10*,1-Drowning and submersion due to being thrown overboard by motion of merchant ship
1-V92.11*,1-Drowning and submersion due to being thrown overboard by motion of passenger ship
1-V92.12*,1-Drowning and submersion due to being thrown overboard by motion of fishing boat
1-V92.13*,1-Drowning and submersion due to being thrown overboard by motion of other powered watercraft
1-V92.14*,1-Drowning and submersion due to being thrown overboard by motion of sailboat
1-V92.15*,1-Drowning and submersion due to being thrown overboard by motion of canoe or kayak
1-V92.16*,1-Drowning and submersion due to being thrown overboard by motion of (nonpowered) inflatable craft
1-V92.19*,1-Drowning and submersion due to being thrown overboard by motion of unspecified watercraft
1-V92.20*,1-Drowning and submersion due to being washed overboard from merchant ship
1-V92.21*,1-Drowning and submersion due to being washed overboard from passenger ship
1-V92.22*,1-Drowning and submersion due to being washed overboard from fishing boat
1-V92.23*,1-Drowning and submersion due to being washed overboard from other powered watercraft
1-V92.24*,1-Drowning and submersion due to being washed overboard from sailboat
1-V92.25*,1-Drowning and submersion due to being washed overboard from canoe or kayak
1-V92.26*,1-Drowning and submersion due to being washed overboard from (nonpowered) inflatable craft
1-V92.27*,1-Drowning and submersion due to being washed overboard from water-skis
1-V92.28*,1-Drowning and submersion due to being washed overboard from other unpowered watercraft
1-V92.29*,1-Drowning and submersion due to being washed overboard from unspecified watercraft
1-V93.00*,1-Burn due to localized fire on board merchant vessel
1-V93.01*,1-Burn due to localized fire on board passenger vessel
1-V93.02*,1-Burn due to localized fire on board fishing boat
1-V93.03*,1-Burn due to localized fire on board other powered watercraft
1-V93.04*,1-Burn due to localized fire on board sailboat
1-V93.09*,1-Burn due to localized fire on board unspecified watercraft
1-V93.10*,1-Other burn on board merchant vessel
1-V93.11*,1-Other burn on board passenger vessel
1-V93.12*,1-Other burn on board fishing boat
1-V93.13*,1-Other burn on board other powered watercraft
1-V93.14*,1-Other burn on board sailboat
1-V93.19*,1-Other burn on board unspecified watercraft
1-V93.20*,1-Heat exposure on board merchant ship
1-V93.21*,1-Heat exposure on board passenger ship
1-V93.22*,1-Heat exposure on board fishing boat
1-V93.23*,1-Heat exposure on board other powered watercraft
1-V93.24*,1-Heat exposure on board sailboat
1-V93.29*,1-Heat exposure on board unspecified watercraft
1-V93.30*,1-Fall on board merchant ship
1-V93.31*,1-Fall on board passenger ship
1-V93.32*,1-Fall on board fishing boat
1-V93.33*,1-Fall on board other powered watercraft
1-V93.34*,1-Fall on board sailboat
1-V93.35*,1-Fall on board canoe or kayak
1-V93.36*,1-Fall on board (nonpowered) inflatable craft
1-V93.38*,1-Fall on board other unpowered watercraft
1-V93.39*,1-Fall on board unspecified watercraft
1-V93.40*,1-Struck by falling object on merchant ship
1-V93.41*,1-Struck by falling object on passenger ship
1-V93.42*,1-Struck by falling object on fishing boat
1-V93.43*,1-Struck by falling object on other powered watercraft
1-V93.44*,1-Struck by falling object on sailboat
1-V93.48*,1-Struck by falling object on other unpowered watercraft
1-V93.49*,1-Struck by falling object on unspecified watercraft
1-V93.50*,1-Explosion on board merchant ship
1-V93.51*,1-Explosion on board passenger ship
1-V93.52*,1-Explosion on board fishing boat
1-V93.53*,1-Explosion on board other powered watercraft
1-V93.54*,1-Explosion on board sailboat
1-V93.59*,1-Explosion on board unspecified watercraft
1-V93.60*,1-Machinery accident on board merchant ship
1-V93.61*,1-Machinery accident on board passenger ship
1-V93.62*,1-Machinery accident on board fishing boat
1-V93.63*,1-Machinery accident on board other powered watercraft
1-V93.64*,1-Machinery accident on board sailboat
1-V93.69*,1-Machinery accident on board unspecified watercraft
1-V93.80*,1-Other injury due to other accident on board merchant ship
1-V93.81*,1-Other injury due to other accident on board passenger ship
1-V93.82*,1-Other injury due to other accident on board fishing boat
1-V93.83*,1-Other injury due to other accident on board other powered watercraft
1-V93.84*,1-Other injury due to other accident on board sailboat
1-V93.85*,1-Other injury due to other accident on board canoe or kayak
1-V93.86*,1-Other injury due to other accident on board (nonpowered) inflatable craft
1-V93.87*,1-Other injury due to other accident on board water-skis
1-V93.88*,1-Other injury due to other accident on board other unpowered watercraft
1-V93.89*,1-Other injury due to other accident on board unspecified watercraft
1-V94.0*,1-Hitting object or bottom of body of water due to fall from watercraft
1-V94.11*,1-Bather struck by powered watercraft
1-V94.12*,1-Bather struck by nonpowered watercraft
1-V94.21*,1-Rider of nonpowered watercraft struck by other nonpowered watercraft
1-V94.22*,1-Rider of nonpowered watercraft struck by powered watercraft
1-V94.31*,1-Injury to rider of (inflatable) recreational watercraft being pulled behind other watercraft
1-V94.32*,1-Injury to rider of non-recreational watercraft being pulled behind other watercraft
1-V94.4*,1-Injury to barefoot water-skier
1-V94.810*,1-Civilian watercraft involved in water transport accident with military watercraft
1-V94.811*,1-Civilian in water injured by military watercraft
1-V94.818*,1-Other water transport accident involving military watercraft
1-V94.89*,1-Other water transport accident
1-V94.9*,1-Unspecified water transport accident
1-V95.00*,1-Unspecified helicopter accident injuring occupant
1-V95.01*,1-Helicopter crash injuring occupant
1-V95.02*,1-Forced landing of helicopter injuring occupant
1-V95.03*,1-Helicopter collision injuring occupant
1-V95.04*,1-Helicopter fire injuring occupant
1-V95.05*,1-Helicopter explosion injuring occupant
1-V95.09*,1-Other helicopter accident injuring occupant
1-V95.10*,"1-Unspecified ultralight, microlight or powered-glider accident injuring occupant"
1-V95.11*,"1-Ultralight, microlight or powered-glider crash injuring occupant"
1-V95.12*,"1-Forced landing of ultralight, microlight or powered-glider injuring occupant"
1-V95.13*,"1-Ultralight, microlight or powered-glider collision injuring occupant"
1-V95.14*,"1-Ultralight, microlight or powered-glider fire injuring occupant"
1-V95.15*,"1-Ultralight, microlight or powered-glider explosion injuring occupant"
1-V95.19*,"1-Other ultralight, microlight or powered-glider accident injuring occupant"
1-V95.20*,"1-Unspecified accident to other private fixed-wing aircraft, injuring occupant"
1-V95.21*,1-Other private fixed-wing aircraft crash injuring occupant
1-V95.22*,1-Forced landing of other private fixed-wing aircraft injuring occupant
1-V95.23*,1-Other private fixed-wing aircraft collision injuring occupant
1-V95.24*,1-Other private fixed-wing aircraft fire injuring occupant
1-V95.25*,1-Other private fixed-wing aircraft explosion injuring occupant
1-V95.29*,1-Other accident to other private fixed-wing aircraft injuring occupant
1-V95.30*,1-Unspecified accident to commercial fixed-wing aircraft injuring occupant
1-V95.31*,1-Commercial fixed-wing aircraft crash injuring occupant
1-V95.32*,1-Forced landing of commercial fixed-wing aircraft injuring occupant
1-V95.33*,1-Commercial fixed-wing aircraft collision injuring occupant
1-V95.34*,1-Commercial fixed-wing aircraft fire injuring occupant
1-V95.35*,1-Commercial fixed-wing aircraft explosion injuring occupant
1-V95.39*,1-Other accident to commercial fixed-wing aircraft injuring occupant
1-V95.40*,1-Unspecified spacecraft accident injuring occupant
1-V95.41*,1-Spacecraft crash injuring occupant
1-V95.42*,1-Forced landing of spacecraft injuring occupant
1-V95.43*,1-Spacecraft collision injuring occupant
1-V95.44*,1-Spacecraft fire injuring occupant
1-V95.45*,1-Spacecraft explosion injuring occupant
1-V95.49*,1-Other spacecraft accident injuring occupant
1-V95.8*,1-Other powered aircraft accidents injuring occupant
1-V95.9*,1-Unspecified aircraft accident injuring occupant
1-V96.00*,1-Unspecified balloon accident injuring occupant
1-V96.01*,1-Balloon crash injuring occupant
1-V96.02*,1-Forced landing of balloon injuring occupant
1-V96.03*,1-Balloon collision injuring occupant
1-V96.04*,1-Balloon fire injuring occupant
1-V96.05*,1-Balloon explosion injuring occupant
1-V96.09*,1-Other balloon accident injuring occupant
1-V96.10*,1-Unspecified hang-glider accident injuring occupant
1-V96.11*,1-Hang-glider crash injuring occupant
1-V96.12*,1-Forced landing of hang-glider injuring occupant
1-V96.13*,1-Hang-glider collision injuring occupant
1-V96.14*,1-Hang-glider fire injuring occupant
1-V96.15*,1-Hang-glider explosion injuring occupant
1-V96.19*,1-Other hang-glider accident injuring occupant
1-V96.20*,1-Unspecified glider (nonpowered) accident injuring occupant
1-V96.21*,1-Glider (nonpowered) crash injuring occupant
1-V96.22*,1-Forced landing of glider (nonpowered) injuring occupant
1-V96.23*,1-Glider (nonpowered) collision injuring occupant
1-V96.24*,1-Glider (nonpowered) fire injuring occupant
1-V96.25*,1-Glider (nonpowered) explosion injuring occupant
1-V96.29*,1-Other glider (nonpowered) accident injuring occupant
1-V96.8*,1-Other nonpowered-aircraft accidents injuring occupant
1-V96.9*,1-Unspecified nonpowered-aircraft accident injuring occupant
1-V97.0*,1-Occupant of aircraft injured in other specified air transport accidents
1-V97.1*,1-Person injured while boarding or alighting from aircraft
1-V97.21*,1-Parachutist entangled in object
1-V97.22*,1-Parachutist injured on landing
1-V97.29*,1-Other parachutist accident
1-V97.31*,1-Hit by object falling from aircraft
1-V97.32*,1-Injured by rotating propeller
1-V97.33*,1-Sucked into jet engine
1-V97.39*,1-Other injury to person on ground due to air transport accident
1-V97.810*,1-Civilian aircraft involved in air transport accident with military aircraft
1-V97.811*,1-Civilian injured by military aircraft
1-V97.818*,1-Other air transport accident involving military aircraft
1-V97.89*,"1-Other air transport accidents, not elsewhere classified"
1-V98.0*,"1-Accident to, on or involving cable-car, not on rails"
1-V98.1*,"1-Accident to, on or involving land-yacht"
1-V98.2*,"1-Accident to, on or involving ice yacht"
1-V98.3*,"1-Accident to, on or involving ski lift"
1-V98.8*,1-Other specified transport accidents
1-V99*,1-Unspecified transport accident
1-W00.0*,1-Fall on same level due to ice and snow
1-W00.1*,1-Fall from stairs and steps due to ice and snow
1-W00.2*,1-Other fall from one level to another due to ice and snow
1-W00.9*,1-Unspecified fall due to ice and snow
1-W01.0*,"1-Fall on same level from slipping, tripping and stumbling without subsequent striking against object"
1-W01.10*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object"
1-W01.110*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp glass"
1-W01.111*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against power tool or machine"
1-W01.118*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object"
1-W01.119*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified sharp object"
1-W01.190*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against furniture"
1-W01.198*,"1-Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
1-W03*,1-Other fall on same level due to collision with another person
1-W04*,1-Fall while being carried or supported by other persons
1-W05.0*,1-Fall from non-moving wheelchair
1-W05.1*,1-Fall from non-moving nonmotorized scooter
1-W05.2*,1-Fall from non-moving motorized mobility scooter
1-W06*,1-Fall from bed
1-W07*,1-Fall from chair
1-W08*,1-Fall from other furniture
1-W09.0*,1-Fall on or from playground slide
1-W09.1*,1-Fall from playground swing
1-W09.2*,1-Fall on or from jungle gym
1-W09.8*,1-Fall on or from other playground equipment
1-W10.0*,1-Fall (on)(from) escalator
1-W10.1*,1-Fall (on)(from) sidewalk curb
1-W10.2*,1-Fall (on)(from) incline
1-W10.8*,1-Fall (on) (from) other stairs and steps
1-W10.9*,1-Fall (on) (from) unspecified stairs and steps
1-W11*,1-Fall on and from ladder
1-W12*,1-Fall on and from scaffolding
1-W13.0*,"1-Fall from, out of or through balcony"
1-W13.1*,"1-Fall from, out of or through bridge"
1-W13.2*,"1-Fall from, out of or through roof"
1-W13.3*,1-Fall through floor
1-W13.4*,"1-Fall from, out of or through window"
1-W13.8*,"1-Fall from, out of or through other building or structure"
1-W13.9*,"1-Fall from, out of or through building, not otherwise specified"
1-W14*,1-Fall from tree
1-W15*,1-Fall from cliff
1-W16.011*,1-Fall into swimming pool striking water surface causing drowning and submersion
1-W16.012*,1-Fall into swimming pool striking water surface causing other injury
1-W16.021*,1-Fall into swimming pool striking bottom causing drowning and submersion
1-W16.022*,1-Fall into swimming pool striking bottom causing other injury
1-W16.031*,1-Fall into swimming pool striking wall causing drowning and submersion
1-W16.032*,1-Fall into swimming pool striking wall causing other injury
1-W16.111*,1-Fall into natural body of water striking water surface causing drowning and submersion
1-W16.112*,1-Fall into natural body of water striking water surface causing other injury
1-W16.121*,1-Fall into natural body of water striking bottom causing drowning and submersion
1-W16.122*,1-Fall into natural body of water striking bottom causing other injury
1-W16.131*,1-Fall into natural body of water striking side causing drowning and submersion
1-W16.132*,1-Fall into natural body of water striking side causing other injury
1-W16.211*,1-Fall in (into) filled bathtub causing drowning and submersion
1-W16.212*,1-Fall in (into) filled bathtub causing other injury
1-W16.221*,1-Fall in (into) bucket of water causing drowning and submersion
1-W16.222*,1-Fall in (into) bucket of water causing other injury
1-W16.311*,1-Fall into other water striking water surface causing drowning and submersion
1-W16.312*,1-Fall into other water striking water surface causing other injury
1-W16.321*,1-Fall into other water striking bottom causing drowning and submersion
1-W16.322*,1-Fall into other water striking bottom causing other injury
1-W16.331*,1-Fall into other water striking wall causing drowning and submersion
1-W16.332*,1-Fall into other water striking wall causing other injury
1-W16.41*,1-Fall into unspecified water causing drowning and submersion
1-W16.42*,1-Fall into unspecified water causing other injury
1-W16.511*,1-Jumping or diving into swimming pool striking water surface causing drowning and submersion
1-W16.512*,1-Jumping or diving into swimming pool striking water surface causing other injury
1-W16.521*,1-Jumping or diving into swimming pool striking bottom causing drowning and submersion
1-W16.522*,1-Jumping or diving into swimming pool striking bottom causing other injury
1-W16.531*,1-Jumping or diving into swimming pool striking wall causing drowning and submersion
1-W16.532*,1-Jumping or diving into swimming pool striking wall causing other injury
1-W16.611*,1-Jumping or diving into natural body of water striking water surface causing drowning and submersion
1-W16.612*,1-Jumping or diving into natural body of water striking water surface causing other injury
1-W16.621*,1-Jumping or diving into natural body of water striking bottom causing drowning and submersion
1-W16.622*,1-Jumping or diving into natural body of water striking bottom causing other injury
1-W16.711*,1-Jumping or diving from boat striking water surface causing drowning and submersion
1-W16.712*,1-Jumping or diving from boat striking water surface causing other injury
1-W16.721*,1-Jumping or diving from boat striking bottom causing drowning and submersion
1-W16.722*,1-Jumping or diving from boat striking bottom causing other injury
1-W16.811*,1-Jumping or diving into other water striking water surface causing drowning and submersion
1-W16.812*,1-Jumping or diving into other water striking water surface causing other injury
1-W16.821*,1-Jumping or diving into other water striking bottom causing drowning and submersion
1-W16.822*,1-Jumping or diving into other water striking bottom causing other injury
1-W16.831*,1-Jumping or diving into other water striking wall causing drowning and submersion
1-W16.832*,1-Jumping or diving into other water striking wall causing other injury
1-W16.91*,1-Jumping or diving into unspecified water causing drowning and submersion
1-W16.92*,1-Jumping or diving into unspecified water causing other injury
1-W17.0*,1-Fall into well
1-W17.1*,1-Fall into storm drain or manhole
1-W17.2*,1-Fall into hole
1-W17.3*,1-Fall into empty swimming pool
1-W17.4*,1-Fall from dock
1-W17.81*,1-Fall down embankment (hill)
1-W17.82*,1-Fall from (out of) grocery cart
1-W17.89*,1-Other fall from one level to another
1-W18.00*,1-Striking against unspecified object with subsequent fall
1-W18.01*,1-Striking against sports equipment with subsequent fall
1-W18.02*,1-Striking against glass with subsequent fall
1-W18.09*,1-Striking against other object with subsequent fall
1-W18.11*,1-Fall from or off toilet without subsequent striking against object
1-W18.12*,1-Fall from or off toilet with subsequent striking against object
1-W18.2*,1-Fall in (into) shower or empty bathtub
1-W18.30*,"1-Fall on same level, unspecified"
1-W18.31*,1-Fall on same level due to stepping on an object
1-W18.39*,1-Other fall on same level
1-W18.40*,"1-Slipping, tripping and stumbling without falling, unspecified"
1-W18.41*,"1-Slipping, tripping and stumbling without falling due to stepping on object"
1-W18.42*,"1-Slipping, tripping and stumbling without falling due to stepping into hole or opening"
1-W18.43*,"1-Slipping, tripping and stumbling without falling due to stepping from one level to another"
1-W18.49*,"1-Other slipping, tripping and stumbling without falling"
1-W19*,1-Unspecified fall
1-W20.0*,1-Struck by falling object in cave-in
1-W20.1*,1-Struck by object due to collapse of building
1-W20.8*,"1-Other cause of strike by thrown, projected or falling object"
1-W21.00*,"1-Struck by hit or thrown ball, unspecified type"
1-W21.01*,1-Struck by football
1-W21.02*,1-Struck by soccer ball
1-W21.03*,1-Struck by baseball
1-W21.04*,1-Struck by golf ball
1-W21.05*,1-Struck by basketball
1-W21.06*,1-Struck by volleyball
1-W21.07*,1-Struck by softball
1-W21.09*,1-Struck by other hit or thrown ball
1-W21.11*,1-Struck by baseball bat
1-W21.12*,1-Struck by tennis racquet
1-W21.13*,1-Struck by golf club
1-W21.19*,"1-Struck by other bat, racquet or club"
1-W21.210*,1-Struck by ice hockey stick
1-W21.211*,1-Struck by field hockey stick
1-W21.220*,1-Struck by ice hockey puck
1-W21.221*,1-Struck by field hockey puck
1-W21.31*,1-Struck by shoe cleats
1-W21.32*,1-Struck by skate blades
1-W21.39*,1-Struck by other sports foot wear
1-W21.4*,1-Striking against diving board
1-W21.81*,1-Striking against or struck by football helmet
1-W21.89*,1-Striking against or struck by other sports equipment
1-W21.9*,1-Striking against or struck by unspecified sports equipment
1-W22.01*,1-Walked into wall
1-W22.02*,1-Walked into lamppost
1-W22.03*,1-Walked into furniture
1-W22.041*,1-Striking against wall of swimming pool causing drowning and submersion
1-W22.042*,1-Striking against wall of swimming pool causing other injury
1-W22.09*,1-Striking against other stationary object
1-W22.10*,1-Striking against or struck by unspecified automobile airbag
1-W22.11*,1-Striking against or struck by driver side automobile airbag
1-W22.12*,1-Striking against or struck by front passenger side automobile airbag
1-W22.19*,1-Striking against or struck by other automobile airbag
1-W22.8*,1-Striking against or struck by other objects
1-W23.0*,"1-Caught, crushed, jammed, or pinched between moving objects"
1-W23.1*,"1-Caught, crushed, jammed, or pinched between stationary objects"
1-W23.2*,"1-Caught, crushed, jammed or pinched between a moving and stationary object"
1-W24.0*,"1-Contact with lifting devices, not elsewhere classified"
1-W24.1*,"1-Contact with transmission devices, not elsewhere classified"
1-W25*,1-Contact with sharp glass
1-W26.0*,1-Contact with knife
1-W26.1*,1-Contact with sword or dagger
1-W26.2*,1-Contact with edge of stiff paper
1-W26.8*,"1-Contact with other sharp object(s), not elsewhere classified"
1-W26.9*,1-Contact with unspecified sharp object(s)
1-W27.0*,1-Contact with workbench tool
1-W27.1*,1-Contact with garden tool
1-W27.2*,1-Contact with scissors
